"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"560","England",2,"Female",NA,"Living with a partner","No","Married/living as married","No",NA,"Every day","The Times/The Sunday Times","No","No","None","None","some,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Almost never","or, not much difference?","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","2",NA,"Disagree","No, none at all","WHITE: of any origin","No religion","Degree","£1,801 - 2,200 p.m.","Agree strongly","Disagree","Agree","Agree","Agree","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"561","Scotland",4,"Female",NA,"Married","Yes","Married/living as married","Yes","The Times","Never",NA,"No","No",NA,NA,"some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time",NA,"Housing","too high and discourage work","Keep taxes and spending on these services at same level",NA,"is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","8","8","Coming to work in Britain from countries outside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","Degree",NA,"Disagree",NA,"Agree","Disagree","Disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"562","England",4,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Every day","BBC News","Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Most of the time","Most of the time","some difference,","Help for industry","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","5 - Neither",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","Degree","£3,601 or more p.m.","Agree","Agree","Disagree","Agree","Disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,"Mentioned",NA,NA,NA,NA,NA
"563","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"No","Yes","Conservative","Conservative","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Most of the time","Only some of the time","some difference,","Education","(Neither)","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a little","4","6","Coming to work in Britain from countries outside the European Union","Agree","No, none at all","WHITE: of any origin","Roman Catholic","Higher educ below degree","£1,601 - 1,800 p.m.","Agree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Agree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"564","Wales",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Several times a week","BBC News","Yes",NA,"Labour","Labour","some,","Most people can be trusted","to leave things as they are,","Most of the time","Only some of the time","... there is a great difference between them,","Health","BOTH: HARD FOR SOME/SOME DO WELL","(None)","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","7","6","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, one","WHITE: of any origin","No religion","Higher educ below degree","£1,101 - 1,300 p.m.","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,"Mentioned",NA,NA,NA
"565","England",5,"Female",NA,"Living with a partner","Yes","Married/living as married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","None","None","or, none at all?","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Housing","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","2",NA,"Disagree strongly","No, none at all","WHITE: of any origin","No religion",NA,NA,NA,"Neither agree nor disagree","Agree strongly","Agree strongly","Agree strongly","Agree strongly","No","Looking after the home","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"566","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No","None","None","or, none at all?",NA,"to leave the European Union,","Almost never","Almost never",NA,"Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","2",NA,"Agree","Yes, several","WHITE: of any origin","No religion","Higher educ below degree","Refused information",NA,NA,NA,NA,NA,NA,"Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"567","England",4,"Male",NA,"Living with a partner","Yes","Married/living as married","No",NA,"Every day","Sky News","No","Yes","Labour","Labour","not very much,","Most people can be trusted","to leave things as they are,","Only some of the time","Only some of the time",NA,"Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","5 - Neither","5 - Neither",NA,"Agree","Yes, a few","MIXED ORIGIN (WRITE IN)","No religion","A level or equiv",NA,"Agree","Neither agree nor disagree","Agree","Disagree","Disagree strongly","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"568","England",2,"Male",NA,"Married","No","Married/living as married","Yes","The Sun/ Scottish Sun","Never",NA,"No","Yes","Labour","Labour","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","or, not much difference?","Health","(Neither)","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","8",NA,"Agree","No, none at all","WHITE: of any origin","Church of England/Anglican",NA,NA,"Agree",NA,NA,NA,NA,"Not answered","No","Unemployed, *not* registered, but actively looking for a job (of at least 10 hrs a week)","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"569","England",4,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"A couple of times a month","Daily Mail or Mail Online/Mail on Sunday","No","Yes","Labour","Labour","not very much,",NA,NA,"Only some of the time","Only some of the time","some difference,","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","3","7",NA,"Disagree","Yes, several","WHITE: of any origin","Roman Catholic","Degree","£781 - 1,100 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"570","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"No","Yes","British National Party (BNP)/ National Front","British National Party (BNP)/ National Front","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","3","2","Refugees claiming asylum in Britain","Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion",NA,NA,"Disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","No","On government training/employment programme","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"571","Scotland",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","some,","Can t be too careful in dealing with people","to leave things as they are,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","5 - Neither","3","Coming to study in British universities","Agree","No, none at all","WHITE: of any origin","Roman Catholic","Degree","£2,701 - 3,600 p.m.","Agree strongly","Agree","Agree","Disagree","Disagree","Agree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,"Mentioned","Mentioned",NA,NA,NA,NA
"572","England",2,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Several times a day","BBC News","No","Yes","Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to leave things as they are,","Almost never","Only some of the time","... there is a great difference between them,","Education","too low and cause hardship","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","8","6","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, several","WHITE: of any origin","No religion","Degree","£1,101 - 1,300 p.m.","Agree","Disagree","Agree","Disagree","Disagree strongly","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"573","England",1,"Male",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","Daily Mirror/ Scottish Mirror","Never",NA,"Yes",NA,"UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Defence",NA,"Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place but not as a result of human actions","Reduced a lot","5 - Neither","8","Refugees claiming asylum in Britain","Disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Disagree strongly",NA,NA,NA,NA,"Not answered","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"574","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Several times a week","Daily Telegraph/The Sunday Telegraph","Yes",NA,"Conservative","Conservative","... a great deal,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Most of the time","Just about always","or, not much difference?","Education","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","7","7","Other [WRITE IN]","Agree","Yes, a few","WHITE: of any origin","Church of England/Anglican","Degree",NA,"Disagree","Disagree","Agree","Neither agree nor disagree","Disagree","Agree","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"575","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No","None","None","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","SPONTANEOUS ONLY: To access benefits or housing","Disagree","No, none at all","WHITE: of any origin","No religion","No qualification",NA,"Agree","Agree","Agree","Agree","Agree","Agree","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"576","England",1,"Female",NA,"Separated (after being married or in a civil partnership)","No","Separated/divorced","Yes","The Guardian","A couple of times a month","The Guardian/The Observer","Yes",NA,"Labour","Labour","... a great deal,","Most people can be trusted","or, to work for the formation of a single European government?","Almost never","Almost never","or, not much difference?","Housing","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","or, is really poor?","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","10 - Extremely good for economy","10 - Cultural life enriched","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, a few","WHITE: of any origin","No religion","No qualification",NA,"Disagree","Disagree","Agree","Disagree","Disagree","Disagree","No","Wholly retired from work",NA,NA,"Mentioned",NA,NA,NA,NA,NA
"577","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"At least once a week","BBC News","Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","some difference,","Help for industry","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","1",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","Higher educ below degree",NA,"Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"578","England",3,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","None","None","or, none at all?","Most people can be trusted",NA,NA,"Only some of the time",NA,"Education","too low and cause hardship","Increase taxes and spend more on health, education etc","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","3",NA,"Disagree","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Neither agree nor disagree",NA,NA,NA,"Agree","Can't choose","No","Looking after the home","Mentioned",NA,NA,NA,NA,NA,NA,NA
"579","England",2,"Male",NA,"Living with a partner","No","Married/living as married","No",NA,"Every day","Other - Foreign site (PLEASE WRITE IN)","No","No","None","None","or, none at all?","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Most of the time","Most of the time",NA,"Housing","too high and discourage work","Keep taxes and spending on these services at same level","about right,",NA,"I believe that climate change is taking place but not as a result of human actions","Increased a little","10 - Extremely good for economy","10 - Cultural life enriched",NA,"Agree strongly","Yes, several","WHITE: of any origin","Roman Catholic","No qualification","£1,301 - 1,600 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,NA,NA,NA,NA,NA
"580","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No","None","None","not very much,","Most people can be trusted","to leave the European Union,","Almost never","Almost never","some difference,","Defence","too low and cause hardship","Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","0 - Cultural life undermined","Coming to work in Britain from countries inside the European Union","Disagree strongly","No, none at all","WHITE: of any origin","No religion","A level or equiv","£1,101 - 1,300 p.m.","Agree strongly","Agree strongly","Agree","Disagree","Agree strongly","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"581","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Every day","Sky News","Yes",NA,"Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","... there is a great difference between them,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","0 - Cultural life undermined",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","A level or equiv",NA,"Neither agree nor disagree","Agree strongly","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"582","England",4,"Female",NA,"Married","Yes","Married/living as married","Yes","(Scottish) Daily Mail","Never",NA,"No","No","Labour","Labour","not very much,","Most people can be trusted",NA,"Only some of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too small","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","8","8",NA,"Disagree","Yes, several","ASIAN: of Indian origin","Christian - no denomination",NA,"Refused information",NA,NA,NA,NA,NA,NA,"Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"583","England",1,"Male",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","(Scottish) Daily Mail","Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","2","2","Coming to work in Britain from countries outside the European Union","Disagree strongly","Yes, a few","WHITE: of any origin","No religion","CSE or equiv","£1,601 - 1,800 p.m.","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"584","England",4,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Every day","BBC News","No","No",NA,NA,"not very much,","Most people can be trusted",NA,"Only some of the time","Only some of the time",NA,"Education","(Neither)","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","7","7","Coming to work in Britain from countries outside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","A level or equiv",NA,NA,NA,NA,NA,NA,NA,"No","In full-time education (not paid for by employer, including on vacation)","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"585","England",1,"Male",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Less often than once a month","BBC News","Yes",NA,"UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","some,","Most people can be trusted","to leave the European Union,","Almost never","Almost never","some difference,","Help for industry","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","has enough to live on,","...I don t believe that climate change is taking place","Reduced a lot","0 - Extremely bad for economy","2",NA,"Disagree strongly","Yes, a few","WHITE: of any origin","No religion",NA,NA,"Agree","Disagree strongly","Agree","Agree","Neither agree nor disagree","Agree strongly","No","Wholly retired from work",NA,"Mentioned",NA,"Mentioned",NA,"Mentioned",NA,NA
"586","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","not very much,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Only some of the time","some difference,","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","about right,","is hard up,","...I don t believe that climate change is taking place","Reduced a little","3","5 - Neither",NA,"Disagree strongly","No, none at all","WHITE: of any origin","No religion","No qualification",NA,"Neither agree nor disagree","Disagree","Agree","Agree","Disagree","Agree","No","Unemployed and registered at a JobCentre or JobCentre Plus","Mentioned",NA,NA,NA,NA,NA,NA,NA
"587","Scotland",2,"Female",NA,"Married","No","Married/living as married","Yes","Daily Record","Never",NA,"No","No","Labour","Labour","not very much,","Can t be too careful in dealing with people",NA,"Only some of the time","Almost never","or, not much difference?","Roads","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,",NA,"Reduced a lot","5 - Neither","5 - Neither","Coming to work in Britain from countries outside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","Presbyterian/Church of Scotland","No qualification",NA,"Agree","Agree",NA,NA,NA,"Can't choose","No","Wholly retired from work","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"588","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","Daily Telegraph","Never",NA,"Yes",NA,"Liberal Democrat","Liberal Democrat","some,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level",NA,NA,NA,"Reduced a lot","5 - Neither","5 - Neither","Refugees claiming asylum in Britain","Neither agree nor disagree","Yes, a few","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Neither agree nor disagree",NA,NA,NA,NA,"Can't choose","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"589","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","No",NA,"Never",NA,"No","Yes","Labour","Labour","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Increase taxes and spend more on health, education etc","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","7",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","Christian - no denomination","No qualification",NA,"Agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Agree","No","Wholly retired from work",NA,NA,NA,"Mentioned",NA,NA,NA,NA
"590","England",3,"Male",NA,"Separated (after being married or in a civil partnership)","No","Separated/divorced","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","... there is a great difference between them,","Education","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","has enough to live on,","...I don t believe that climate change is taking place","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined",NA,"Agree","Yes, a few","WHITE: of any origin","No religion","CSE or equiv",NA,"Disagree","Neither agree nor disagree","Agree strongly","Agree strongly","Agree strongly","Agree strongly","No","Unemployed and registered at a JobCentre or JobCentre Plus",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"591","Wales",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","not very much,","Can t be too careful in dealing with people",NA,"Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,",NA,"Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined",NA,"Neither agree nor disagree","No, none at all","WHITE: of any origin","Baptist","No qualification",NA,NA,NA,NA,NA,NA,NA,"No","Wholly retired from work",NA,NA,NA,NA,"Mentioned",NA,NA,NA
"592","England",3,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Every day","BBC News","No","Yes","Green Party","Green Party","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","6","6",NA,"Agree","No, none at all","WHITE: of any origin","No religion","Degree",NA,"Disagree","Agree","Agree","Disagree","Disagree","Neither agree nor disagree","No","Unemployed, wanting a job (of at least 10 hrs per week) but *not* actively looking for a job","Mentioned",NA,NA,NA,NA,NA,NA,NA
"593","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","Yes","Labour","Labour","not very much,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Health","(Neither)","Increase taxes and spend more on health, education etc",NA,NA,"I believe that climate change is taking place but not as a result of human actions","Reduced a lot","0 - Extremely bad for economy","5 - Neither","Coming to study in British universities","Agree","Yes, one","WHITE: of any origin","No religion","No qualification",NA,"Disagree","Agree strongly","Agree","Agree","Neither agree nor disagree","Agree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"594","England",2,"Male",NA,"Married","No","Married/living as married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","Labour","Labour","not very much,","Most people can be trusted","to leave things as they are,","Almost never","Almost never","... there is a great difference between them,","Roads","(Neither)","Reduce taxes and spend less on health, education etc","too large","is hard up,","...I don t believe that climate change is taking place","Reduced a little","5 - Neither","3","Coming to work in Britain from countries inside the European Union","Disagree","No, none at all","WHITE: of any origin","Methodist","No qualification",NA,"Neither agree nor disagree","Disagree","Disagree","Disagree","Disagree strongly","Disagree","No","Wholly retired from work",NA,NA,NA,NA,NA,NA,NA,NA
"595","England",2,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","some,","Most people can be trusted","to leave things as they are,","Only some of the time","Almost never","some difference,","Health","too low and cause hardship","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","3",NA,"Agree","No, none at all","WHITE: of any origin","No religion","No qualification",NA,"Disagree","Disagree strongly","Agree","Disagree","Agree","Agree","No","Permanently sick or disabled","Mentioned",NA,NA,NA,NA,NA,NA,NA
"596","England",2,"Female",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Mail","Never",NA,"No","No","None","None","or, none at all?","Can t be too careful in dealing with people","to leave the European Union,","Only some of the time","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,",NA,"...I don t believe that climate change is taking place","Reduced a lot","3","4","Coming to work in Britain from countries inside the European Union","Disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification",NA,NA,NA,NA,NA,NA,NA,"No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"597","England",4,"Female",NA,"Married","Yes","Married/living as married","Yes","Daily Mirror/ Scottish Mirror","Never",NA,"Yes",NA,"Labour","Labour","not very much,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","8",NA,"Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","A level or equiv","£1,301 - 1,600 p.m.","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"598","England",2,"Male",NA,"Married","No","Married/living as married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Several times a week","BBC News","No","Yes","Conservative","Conservative","... a great deal,","Most people can be trusted","to leave the European Union,","Almost never","Almost never","some difference,","Roads","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Increased a lot","10 - Extremely good for economy","10 - Cultural life enriched","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, several","WHITE: of any origin","Christian - no denomination","Degree","£2,201 - 2,700 p.m.","Agree strongly","Disagree strongly","Agree strongly","Disagree strongly","Disagree strongly","Disagree strongly","No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,NA,NA,NA,NA,NA
"599","England",4,"Female",NA,"Living with a partner","Yes","Married/living as married","No",NA,"A couple of times a month","Other - UK site (PLEASE WRITE IN)","No","No","None","None","not very much,","Most people can be trusted",NA,"Only some of the time","Only some of the time",NA,"Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","1","3","Other [WRITE IN]",NA,"No, none at all","WHITE: of any origin","No religion","Degree",NA,"Neither agree nor disagree",NA,NA,NA,NA,"Can't choose","No","Looking after the home","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"600","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Only some of the time","or, not much difference?","Police and prisons","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","2","Refugees claiming asylum in Britain","Disagree","No, none at all","WHITE: of any origin","No religion","A level or equiv","£1,601 - 1,800 p.m.","Agree","Disagree","Agree","Disagree","Disagree","Agree strongly","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
